Date,Hawaii,Alaska,California,Colorado,Georgia,Montana,Texas
2020-01-23,,,0,,,,
2020-01-24,,,0,,,,
2020-01-25,,,0,,,,
2020-01-26,,,2,,,,
2020-01-27,,,0,,,,
2020-01-28,,,0,,,,
2020-01-29,,,0,,,,
2020-01-30,,,0,,,,
2020-01-31,,,1,,,,
2020-02-01,,,0,,4,,
2020-02-02,,,3,,3,,
2020-02-03,,,0,,2,,
2020-02-04,,,0,,0,,
2020-02-05,,,0,,0,,
2020-02-06,,,0,,2,,
2020-02-07,,,0,,1,,
2020-02-08,,,0,,1,,
2020-02-09,,,0,,0,,
2020-02-10,,,0,,2,,
2020-02-11,,,0,,0,,
2020-02-12,,,0,,0,,
2020-02-13,,,0,,1,,
2020-02-14,,,0,,2,,
2020-02-15,,,0,,3,,
2020-02-16,,,0,,0,,
2020-02-17,,,0,,3,,
2020-02-18,,,0,,3,,
2020-02-19,,,0,,3,,
2020-02-20,,,0,,4,,
2020-02-21,,,0,,2,,
2020-02-22,,,0,,4,,
2020-02-23,,,0,,8,,
2020-02-24,,,0,,6,,
2020-02-25,,,0,,9,,
2020-02-26,,,0,,10,,
2020-02-27,,,0,,11,,
2020-02-28,,,0,,16,,
2020-02-29,,,0,,13,,
2020-03-01,,,0,,84,,
2020-03-02,,1,0,,41,,0
2020-03-03,,1,0,,41,,0
2020-03-04,,2,47,,51,,6
2020-03-05,,1,7,8,44,,0
2020-03-06,1,0,9,0,64,,0
2020-03-07,0,1,19,0,63,,8
2020-03-08,1,1,26,0,77,,0
2020-03-09,0,0,19,5,124,,0
2020-03-10,0,7,24,6,162,,0
2020-03-11,0,1,20,19,161,1,0
2020-03-12,0,4,21,10,184,0,0
2020-03-13,0,4,49,28,268,4,0
2020-03-14,2,6,88,32,221,2,35
2020-03-15,3,11,57,34,286,0,0
2020-03-16,3,14,80,37,415,1,8
2020-03-17,4,17,126,29,393,3,20
2020-03-18,2,13,77,68,439,2,27
2020-03-19,10,14,331,86,414,4,67
2020-03-20,11,13,218,114,485,7,60
2020-03-21,11,12,509,115,317,8,29
2020-03-22,8,9,222,126,341,3,25
2020-03-23,21,16,580,189,578,12,425
2020-03-24,13,12,471,175,519,7,263
2020-03-25,5,10,675,316,556,19,419
2020-03-26,11,11,795,296,494,35,337
2020-03-27,14,11,842,328,512,23,317
2020-03-28,31,6,640,243,432,25,504
2020-03-29,24,11,480,332,367,17,322
2020-03-30,29,13,1169,326,679,14,392
2020-03-31,20,9,1223,384,516,23,730
2020-04-01,34,7,1036,396,735,18,669
2020-04-02,27,9,1510,450,624,16,659
2020-04-03,34,4,1325,392,688,22,788
2020-04-04,32,9,1412,390,464,21,681
2020-04-05,20,7,898,220,422,13,480
2020-04-06,16,9,1529,268,894,18,988
2020-04-07,23,13,1092,248,687,13,1092
2020-04-08,25,6,1352,549,766,19,877
2020-04-09,7,5,1163,359,792,15,1441
2020-04-10,22,3,1143,435,876,12,890
2020-04-11,22,4,1179,433,556,10,923
2020-04-12,13,5,554,381,402,7,422
2020-04-13,5,1,990,296,851,5,718
2020-04-14,13,7,1086,307,859,5,868
2020-04-15,13,2,1758,420,776,11,963
2020-04-16,11,1,1346,340,793,7,916
2020-04-17,12,1,1435,478,862,4,889
2020-04-18,21,1,1370,354,487,7,663
2020-04-19,6,1,645,364,557,0,535
2020-04-20,4,3,2283,371,948,4,738
2020-04-21,2,6,2135,457,880,2,873
2020-04-22,6,2,1973,388,835,3,875
2020-04-23,4,2,1885,968,715,2,862
2020-04-24,5,0,1883,704,798,1,967
2020-04-25,3,2,1027,495,461,3,858
2020-04-26,2,4,1300,405,350,1,666
2020-04-27,1,6,1567,487,933,2,874
2020-04-28,2,4,1469,440,923,0,883
2020-04-29,4,0,2417,526,722,2,1033
2020-04-30,5,9,1525,484,661,0,1142
2020-05-01,1,1,1755,423,757,1,1293
2020-05-02,0,3,1419,378,363,2,1026
2020-05-03,0,2,1321,333,285,0,784
2020-05-04,1,1,1275,367,802,0,1037
2020-05-05,4,1,2603,395,552,0,1053
2020-05-06,1,2,1799,443,559,0,968
2020-05-07,3,3,1898,453,540,1,1219
2020-05-08,0,1,2049,550,585,1,1251
2020-05-09,3,1,2119,345,325,0,1009
2020-05-10,1,2,1259,214,315,1,1000
2020-05-11,2,2,1443,248,870,2,1179
2020-05-12,1,0,1759,294,678,1,1355
2020-05-13,2,4,2023,431,754,0,1448
2020-05-14,0,1,1772,403,824,4,1347
2020-05-15,1,4,1857,434,823,2,1801
2020-05-16,0,4,2046,335,491,0,785
2020-05-17,1,3,1591,219,385,2,909
2020-05-18,0,0,1365,269,891,1,1219
2020-05-19,0,3,2262,289,758,7,1411
2020-05-20,0,0,2140,362,678,1,945
2020-05-21,2,2,2247,307,688,0,1181
2020-05-22,1,4,2187,452,747,0,1060
2020-05-23,1,0,2079,225,430,0,839
2020-05-24,0,1,1848,265,313,0,623
2020-05-25,0,2,2175,302,335,0,589
2020-05-26,0,1,2247,205,904,2,1361
2020-05-27,1,13,2717,283,779,4,1855
2020-05-28,3,5,2189,377,688,7,1230
2020-05-29,2,3,2992,502,790,12,1332
2020-05-30,3,27,3705,300,420,9,1949
2020-05-31,1,7,2423,148,266,4,593
2020-06-01,0,20,2304,193,806,4,1688
2020-06-02,1,18,2377,234,734,2,1703
2020-06-03,1,8,2120,295,693,14,1651
2020-06-04,2,11,3094,240,632,2,1693
2020-06-05,9,12,3115,215,454,1,1940
2020-06-06,9,8,2796,154,169,5,1425
2020-06-07,2,18,2507,,122,3,638
2020-06-08,1,11,2170,,103,6,1637
2020-06-09,6,20,2702,,,7,2504
2020-06-10,4,18,3090,,,3,1826
2020-06-11,7,14,2702,,,10,2097
2020-06-12,15,26,3660,,,14,2331
2020-06-13,17,9,3212,,,12,1843
2020-06-14,5,3,2597,,,8,1254
2020-06-15,8,13,2108,,,5,2622
2020-06-16,4,20,3455,,,18,3129
2020-06-17,4,12,4084,,,25,3516
2020-06-18,18,14,4317,,,11,3454
2020-06-19,27,21,3893,,,30,4430
2020-06-20,14,11,4515,,,20,3866
2020-06-21,11,6,4230,,,17,3280
2020-06-22,4,16,5019,,,9,5489
2020-06-23,3,14,7149,,,23,5551
2020-06-24,16,25,5349,,,35,5996
2020-06-25,15,19,4890,,,28,5707
2020-06-26,16,19,5972,,,23,5742
2020-06-27,6,29,4810,,,10,5357
2020-06-28,27,21,5307,,,56,4288
2020-06-29,2,36,6367,,,49,6975
2020-06-30,18,38,,,,50,8076
2020-07-01,9,38,,,,67,7915
2020-07-02,21,46,,,,45,7555
2020-07-03,21,49,,,,39,8258
2020-07-04,29,27,,,,42,3449
2020-07-05,24,28,,,,37,5318
2020-07-06,25,18,,,,80,10028
2020-07-07,41,40,,,,44,9979
2020-07-08,23,47,,,,96,9782
2020-07-09,36,51,,,,125,9765
2020-07-10,28,63,,,,83,10351
2020-07-11,41,94,,,,83,8196
2020-07-12,21,60,,,,84,5655
2020-07-13,22,40,,,,109,10745
2020-07-14,21,51,,,,146,10791
2020-07-15,29,65,,,,133,10291
2020-07-16,19,39,,,,137,10256
